"","x","y","cellType"
"210",89.0048402710552,125.231364956438,"p53+Tumour"
"211",79.1408450704225,396.408450704225,"p53+Tumour"
"212",82.9914163090129,519.422746781116,"Immune"
"213",82.5128205128205,865.48433048433,"Immune"
"214",83.4874074074074,1149.38518518519,"Immune"
"215",76.1884057971015,1842.92028985507,"Immune"
"217",83.1674876847291,1701.55172413793,"Immune"
"218",83.0335195530726,1812.01489757914,"Immune"
"219",82.9475409836066,1499.91475409836,"Keratin+ Tumour"
"220",79.3901639344262,619.990163934426,"Immune"
"221",86.697247706422,723.752293577982,"Immune"
"222",90.2929710572947,915.272297696397,"Immune"
"223",85.390243902439,1546.35365853659,"Immune"
"225",89.5369127516778,1320.09731543624,"Endothelial"
"226",88.4816112084063,1967.69527145359,"Immune"
"227",85.1325301204819,33.4698795180723,"Keratin+ Tumour"
"228",92.6220472440945,415.356955380577,"p53+Tumour"
"229",91.1846153846154,437.897435897436,"p53+Tumour"
"230",91.4868852459016,787.752459016393,"Immune"
"232",93.0310945273632,1585.65422885572,"Keratin+ Tumour"
"233",91.7305122494432,1837.13140311804,"Immune"
"234",86.6524701873935,1862.9471890971,"Immune"
"236",90.7496183206107,1639.04122137405,"Immune"
"237",96.8,594.383783783784,"Immune"
"238",92.0591603053435,1027.11450381679,"Immune"
"239",86.5944272445821,67.9349845201238,"Keratin+ Tumour"
"240",86.5434083601286,1522.52090032154,"Immune"
"241",97.4253798033959,383.421805183199,"p53+Tumour"
"242",93.4107883817427,1252.66182572614,"Immune"
"243",94.5714285714286,231.825665859564,"Keratin+ Tumour"
"244",96.1781970649895,320.876310272537,"Immune"
"245",93.172514619883,561.637426900585,"Immune"
"246",91.8651685393258,610.112359550562,"Immune"
"248",98.7642782969886,192.797507788162,"Keratin+ Tumour"
"249",92.8491620111732,1418.88268156425,"Immune"
"250",91.6269430051813,2002.23316062176,"Immune"
"251",95.5820895522388,50.7522388059702,"Keratin+ Tumour"
"253",95.4338235294118,831.058823529412,"Immune"
"255",98.189453125,163.54296875,"Keratin+ Tumour"
"256",103.652977412731,1394.91889117043,"Immune"
"257",98.8793774319066,1486.40077821012,"p53+Tumour"
"259",96.3790322580645,1780.11290322581,"Immune"
"260",100.856230031949,1816.93290734824,"Immune"
"261",100.415011037528,86.9403973509934,"Keratin+ Tumour"
"263",102.079096045198,712.457627118644,"Immune"
"264",98.1556886227545,1531.64071856287,"Keratin+ Tumour"
"265",101.256198347107,35.6487603305785,"Keratin+ Tumour"
"267",99.8020134228188,357.107382550336,"Immune"
"269",101.110144927536,625.713043478261,"Immune"
"273",107.598058252427,1555.69223300971,"Keratin+ Tumour"
"275",102.350114416476,1507.86956521739,"Keratin+ Tumour"
"276",107.72758037225,471.802030456853,"Keratin+ Tumour"
"277",96.4332648870637,1050.64476386037,"Immune"
"278",98.7111801242236,1205.10248447205,"Immune"
"279",102.310218978102,1610.28102189781,"Keratin+ Tumour"
"280",100.489361702128,1733.91489361702,"Endothelial"
"281",103.985940246046,649.583479789104,"Immune"
"282",109.014285714286,812.21746031746,"Immune"
"283",104.429805615551,1900.17062634989,"Immune"
"284",112.292727272727,244.376363636364,"Keratin+ Tumour"
"285",111.915875169607,690.503392130258,"Immune"
"286",108.854523227384,1127.75550122249,"Keratin+ Tumour"
"287",107.780068728522,65.2302405498282,"Keratin+ Tumour"
"289",109.259319286872,275.800648298217,"Keratin+ Tumour"
"290",116.570895522388,521.84776119403,"p53+Tumour"
"291",106.08125,1863.403125,"Immune"
"292",107.639024390244,345.473170731707,"Immune"
"293",101.188405797101,739.844202898551,"Immune"
"294",111.208981001727,1329.64421416235,"Immune"
"295",107.293718166384,1353.33106960951,"Immune"
"296",108.812646370023,1954.21077283372,"Immune"
"297",114.226138032305,492.527165932452,"Keratin+ Tumour"
"298",110.610894941634,1972.71595330739,"Unidentified"
"299",113.520697167756,329.509803921569,"Immune"
"300",109.186390532544,1880.7899408284,"Immune"
"301",110.224242424242,1990.29696969697,"Immune"
"302",109.298611111111,586.1875,"Immune"
"304",108.506329113924,842.20253164557,"Immune"
"305",112.931856899489,566.6132879046,"Immune"
"306",110.820754716981,1845.47169811321,"Immune"
"307",120.065082644628,215.443181818182,"Keratin+ Tumour"
"308",110.805555555556,1455.67592592593,"Keratin+ Tumour"
"310",116.378812199037,780.245585874799,"Immune"
"311",117.62274368231,946.01083032491,"Immune"
"312",111.120689655172,1488.70689655172,"p53+Tumour"
"313",117.62962962963,1727.70717592593,"Endothelial"
"314",114.322067594433,127.683896620278,"Keratin+ Tumour"
"315",126.701697655618,407.782538399353,"p53+Tumour"
"316",115.86327077748,1215.39678284182,"Immune"
"317",121.73476702509,1471.48207885305,"p53+Tumour"
"318",122.519396551724,1521.55603448276,"Keratin+ Tumour"
"319",114.136082474227,1926.97319587629,"Immune"
"320",121.098765432099,1088.5975308642,"Keratin+ Tumour"
"323",124.532295719844,1596.01789883268,"Keratin+ Tumour"
"325",120.73093220339,47.2436440677966,"Keratin+ Tumour"
"326",118.560606060606,863.094696969697,"Immune"
"327",117.754854368932,902.533980582524,"Immune"
"328",116.895833333333,1768.36011904762,"Mesenchymal"
"329",121.997014925373,111.334328358209,"Keratin+ Tumour"
"330",120.960975609756,722.772357723577,"Immune"
"331",120.647798742138,85.2012578616352,"Keratin+ Tumour"
"332",119.61568627451,151.560784313725,"Keratin+ Tumour"
"333",121.24881141046,628.202852614897,"Immune"
"334",127.14501510574,836.708459214502,"Immune"
"335",122.390334572491,929.208178438662,"Immune"
"336",119.583569405099,1413.06515580737,"Immune"
"337",122.089108910891,32.2178217821782,"Keratin+ Tumour"
"338",124.727027027027,380.948648648649,"p53+Tumour"
"340",121.941379310345,1862.06551724138,"Immune"
"341",129.697653429603,597.342960288809,"Immune"
"343",128.705544933078,661.663479923518,"Immune"
"344",120.013636363636,1787.34090909091,"Immune"
"346",119.533333333333,2016.8,"Immune"
"347",126.413793103448,550.712643678161,"Keratin+ Tumour"
"349",124.5125,69.9541666666667,"Keratin+ Tumour"
"350",131.938613861386,288.346534653465,"p53+Tumour"
"351",126.937219730942,990.105381165919,"Immune"
"352",135.965207631874,1493.50056116723,"p53+Tumour"
"353",124.804713804714,2002.36363636364,"Unidentified"
"355",126.877505567929,1447.69933184855,"Keratin+ Tumour"
"357",129.776183644189,1680.48637015782,"Immune"
"358",131.861723446894,1706.06412825651,"Immune"
"359",133.28541001065,1837.69968051118,"Immune"
"360",131.869090909091,359.418181818182,"Immune"
"361",128.150753768844,1155.8743718593,"Unidentified"
"363",129.569306930693,1965.38861386139,"Immune"
"364",131.184647302905,969.703319502075,"Immune"
"365",127.478787878788,1119.79393939394,"Keratin+ Tumour"
"366",134.829457364341,1932.5645994832,"Immune"
"367",133.363636363636,910.766233766234,"Immune"
"369",129.006355932203,1640.17584745763,"Keratin+ Tumour"
"370",128.592105263158,1349.67105263158,"Immune"
"373",133.997361477573,683.899736147757,"Immune"
"375",132.741116751269,1283.34771573604,"Immune"
"376",142.62922122674,1558.65127498277,"Keratin+ Tumour"
"377",134.041666666667,1796.0625,"Immune"
"378",132.263392857143,878.647321428571,"Immune"
"379",133.27149321267,1428.19457013575,"Immune"
"380",132.625954198473,743.613740458015,"Immune"
"381",135.307262569832,890.396648044693,"Immune"
"382",145.371098265896,94.9063583815029,"Keratin+ Tumour"
"383",135.463276836158,1414.09604519774,"Immune"
"384",136.784711388456,1813.20436817473,"Unidentified"
"386",136.6,717.939393939394,"Immune"
"388",134.892682926829,779.00487804878,"Immune"
"389",138.35472972973,857.719594594595,"Immune"
"390",143.700471698113,1061.3427672956,"p53+Tumour"
"391",140,1265.97222222222,"Immune"
"393",140.902877697842,69.6906474820144,"Keratin+ Tumour"
"394",138.424153166421,800.9941089838,"Immune"
"395",136.425675675676,1783.85810810811,"Immune"
"396",138.676363636364,2011.53818181818,"Immune"
"397",140.778037383178,142.75,"Keratin+ Tumour"
"398",142.133495145631,647.065533980582,"Immune"
"399",140.871743486974,762.286573146293,"Unidentified"
"400",144.96875,48.9375,"Keratin+ Tumour"
"402",146.304347826087,823.052173913043,"Immune"
"404",142.385321100917,948.766055045872,"Immune"
"405",142.336755646817,443.831622176591,"Keratin+ Tumour"
"406",142.57805907173,1443.26582278481,"Keratin+ Tumour"
"408",144.584837545126,929.667870036101,"Immune"
"409",146.471816283925,1860.40709812109,"Immune"
"410",154.228474576271,520.267118644068,"p53+Tumour"
"411",142.183006535948,1401.58823529412,"Immune"
"414",152.919629057187,120.511591962906,"Keratin+ Tumour"
"415",147.822736030829,343.325626204239,"Immune"
"416",153.463790446841,302.212634822804,"p53+Tumour"
"417",143.214659685864,1145.31937172775,"Immune"
"418",147.995670995671,674.316017316017,"Immune"
"419",145.237373737374,1630.21043771044,"Keratin+ Tumour"
"420",153.148502994012,576.525748502994,"Keratin+ Tumour"
"421",146.339805825243,1427.30097087379,"Immune"
"422",149.802139037433,1458.82620320856,"Keratin+ Tumour"
"425",152.715297450425,1026.56232294618,"p53+Tumour"
"426",153.195767195767,605.362433862434,"Keratin+ Tumour"
"427",152.120826709062,1118.02066772655,"Immune"
"428",152.071180555556,1986.421875,"Unidentified"
"430",156.245871559633,720.588990825688,"Immune"
"431",159.462154942119,1601.82190560997,"Keratin+ Tumour"
"432",150.311111111111,1717.93333333333,"Unidentified"
"435",154.541052631579,696.075789473684,"Immune"
"436",153.479310344828,918.655172413793,"Keratin+ Tumour"
"437",157.602150537634,142.268817204301,"Keratin+ Tumour"
"439",155.551622418879,891.238938053097,"Immune"
"442",154.514534883721,875.575581395349,"Immune"
"443",155.376068376068,982.015873015873,"Immune"
"446",158.968539325843,952.550561797753,"Immune"
"448",156.126738794436,1408.4142194745,"Immune"
"449",159.213425129088,1487.49397590361,"p53+Tumour"
"450",156.722044728434,274.58785942492,"Keratin+ Tumour"
"451",155.45584725537,633.052505966587,"Immune"
"452",159.282988871224,785.162162162162,"Immune"
"453",156.891454965358,854.554272517321,"Immune"
"454",156.777262180974,1742.96287703016,"Unidentified"
"457",166.661623108666,1169,"Keratin+ Tumour"
